title,author,category,link,description,prize
โชคดีที่มึงได้อ่าน,"	เกตุเสพย์สวัสดิ์ ปาลกะวงศ์ ณ อยุธยา (น้าเน็ก)",การพัฒนาตนเอง,https://media.discordapp.net/attachments/877067906129723432/909148509016588358/432970_01_business_management_se_ed_v2_2_2.jpg,"""โชคดีที่มึงได้อ่าน"" จากที่สุดของ Content Online แห่งยุค เรื่องราวที่มีคุณค่า จากรายการ ""อย่าหาว่าน้าสอน"" ในช่อง ""NANAKE 555"" ที่ได้รับความนิยมอย่างล้นหลาม ถูกร้อยเรียงเป็นตัวอักษรบรรจุอยู่ในหนังสือเล่มนี้ ให้ทุกคนได้เป็นเจ้าของ หยิบอ่านได้ทุกเมื่อที่ต้องการ",255.55
เซเปียนส์ ประวัติย่อมนุษยชาติ : Sapiens A Brief History of Humankind,"	Yuval Noah Harari (ยูวัล โนอาห์ แฮรารี)",ประวัติศาสตร์,https://media.discordapp.net/attachments/877067906129723432/909148539676942457/9786163016560.jpg,"""เซเปียนส์ ประวัติย่อมนุษยชาติ : Sapiens A Brief History of Humankind"" บอกเล่าเรื่องราวอันโลดโผนของประวัติศาสตร์ที่แสนพิเศษของพวกเรา นับตั้งแต่เมื่อครั้งยังเป็นลิงไร้หางที่ไม่สลักสำคัญใด จนกลายเป็นเจ้าผู้ครอบครองโลก",503.5
คิดแบบอัจฉริยะนักวิทยาศาสตร์ เซอร์ ไอแซก นิวตัน,บุญชัย ใจเย็น,ชีวประวัติ,https://media.discordapp.net/attachments/877067906129723432/909148543317598268/9786164413344l_1.jpg,เพราะแอปเปิลผลนั้น...จึงทำให้เขาต่อยอดความคิดไปได้จนประสบผลสำเร็จ,94.05
เราเติบโตขึ้นในทุก ๆ วัน,คิดมาก,การพัฒนาตนเอง,https://media.discordapp.net/attachments/877067906129723432/909148519040946176/9786161845612l.jpg,ยังจำความรู้สึกวันแรกที่ไปโรงเรียนได้ไหม จำได้ไหมว่ารู้จักกับเพื่อนสนิทได้ยังไง ยังจำความรู้สึกตอนมีความรักครั้งแรกได้หรือเปล่า ตอนนั้นเคยไหมที่กังวลใจมากว่าผลสอบจะออกมาไม่ดี แต่สุดท้ายเธอก็ผ่านมันมาได้ ยังจำความรู้สึกตอนสัมภาษณ์งานครั้งแรกได้ไหม ตอนนั้นตื่นเต้นไหม,223.25
ไทยกับอาเซียนในยุคสงครามเย็น : มิติด้านการเมืองและความมั่นคง,สุรพงษ์ ชัยนาม,ประวัติศาสตร์,https://media.discordapp.net/attachments/877067906129723432/909153402221641738/9786164860520l.jpg,"เป็นข้อมูลจาก ""คนใน"" ที่มีประสบการณ์อย่างโชกโชนเกี่ยวกับประเทศเพื่อนบ้าน เพื่อให้ผู้อ่านซึ่งเป็น ""คนนอก"" ได้เห็นการวิเคราะห์ความสัมพันธ์ของไทยต่อประเทศเพื่อนบ้านในมิติด้านการเมืองและความมั่นคง",712.5
ไต้หวันไม่ใช่ส่วนหนึ่งของจีน : ประวัติศาสตร์ชาติไต้หวัน,"Hsueh Hua-yuan,Tai Pao-tsun,Chow Mei-li",ประวัติศาสตร์,https://media.discordapp.net/attachments/877067906129723432/909151512285040660/9786168209431l.jpg,ตอบคำถามเกี่ยวกับความคาราคาซัง เกี่ยวกับความสัมพันธ์ไต้หวัน-จีน ให้เข้าใจง่ายที่สุด เช่น ไต้หวันเป็นประเทศหรือไม่ อำนาจอธิปไตยของไต้หวันอยู่ในมือใคร,285
พิชิต 150 คะแนนเต็ม!! GAT ภาษาไทย โดย อ.ขลุ่ย,ณภัทร รอดเหตุภัย (อ.ขลุ่ย),การศึกษา,https://media.discordapp.net/attachments/877067906129723432/909151742560718868/9786160836581l_1.jpg,"พบกับแบบฝึกหัด 52 บทความที่ใกล้เคียงข้อสอบจริง ""GAT ภาษาไทย โดย อ.ขลุ่ย"" พร้อมเฉลยละเอียดสุด ๆ ตอบทุกจุดสงสัยให้ นอกจากนี้ยังรวบรวมหลักการทำข้อสอบ เทคนิคช่วยจำ และจับผิดข้อสอบลวง เพื่อพิชิต 150 คะแนนเต็ม อธิบายอย่างเข้าใจง่าย อ่านและทบทวนได้เอง เหมาะสำหรับนักเรียนเตรียมสอบ ครู อาจารย์ วิทยากร เพื่อช่วยติวข้อสอบ เตรียมความพร้อมให้มีความมั่นใจในการสอบมากยิ่งขึ้น",175.5
Biology,ดร. ศุภณัฐ ไพโรหกุล,การศึกษา,https://media.discordapp.net/attachments/877067906129723432/909148510350377000/1000190061_front_XXL.jpg,สรุปสาระสำคัญทั้งความรู้พื้นฐานและเนื้อหาที่ใช้สำหรับในการต่อยอดทางด้าน...ชีววิทยา เหมาะสำหรับนักเรียนในระดับมัธยมศึกษา และนักเรียนที่เตรียมตัวสอบแข่งขันในระดับต่างๆ อาทิ สอวน. ชีวิทยารอบแรก หรือ การสอบคัดเลือกเพื่อศึกษาต่อในระดับมหาวิทยาลัย โดยเฉพาะอย่างยิ่ง ในสาขาชีววิทยาโดยตรง หรือในสาขาวิทยาศาสตร์สาธารณสุขกลุ่มต่างๆ นอกจากนี้ ยังเหมาะกับบุคคลทั่วไปที่มีความสนใจเพิ่มเติมทางด้านชีววิทยาอีกด้วย,560.5
ทฤษฎีดนตรีตะวันตก : Western Music Theory,วิบูลย์ ตระกูลฮุ้น,การศึกษา,https://media.discordapp.net/attachments/877067906129723432/909148495460569168/5bab6686Nc856792a.jpgq70_2.jpg,"หนังสือ ""ทฤษฎีดนตรีตะวันตก (Western Music Theory)"" ได้ปรับปรุงเนื้อหา รูปเล่มและส่วนปลีกย่อยอื่น พร้อมทั้งเพิ่มเนื้อหาประเด็น ""คอร์ดโครมาติก (Chromatic Chord)"" จึงทำให้มีจำนวนบทเพิ่มขึ้นเป็น 10 บท โดยยังคงประเด็นเดิมไว้ เริ่มตั้งแต่ระดับเบื้องต้นจนถึงวิธีการสร้างทรัยแอดและคอร์ดทบเจ็ด รวมถึงความสัมพันธ์ขั้นพื้นฐานระหว่างคอร์ดต่าง ๆ ซึ่งครอบคลุมเนื้อหาเท่าที่จำเป็นต่อการเรียนรู้ทฤษฎีดนตรีตะวันตก สำหรับการจัดวางเนื้อหาในแต่ละบทครอบคลุมเนื้อหาในประเด็นที่เกี่ยวเนื่องกัน ตามด้วยแบบฝึกหัดท้ายบท และคำเฉลยแบบฝึกหัดท้ายเล่ม ทั้งนี้การจัดเรียงลำดับเนื้อหาภายในเล่ม เป็นไปตามความคิดเห็นและประสบการณ์การสอนของผู้เขียน ซึ่งผู้สอนอาจพิจารณาจัดเรียงลำดับเนื้อหาการสอนใหม่ได้ โดยไม่จำเป็นต้องเรียงลำดับตามหนังสือเล่มนี้ หรือหากผู้สอนพิจารณาเห็นว่าบางประเด็นอาจยากเกินไปสำหรับผู้เริ่มเรียน ก็สามารถข้ามไปก่อนได้เช่นกัน เมื่อผู้สอนพิจารณาเห็นว่าผู้เรียนมีความพร้อมแล้ว ก็นำมาสอนภายหลัง",240
เด็กชายมะลิวัลย์,ประภัสสร เสวิกุล,วรรณกรรม,https://media.discordapp.net/attachments/877067906129723432/909151831266058260/9789742894757l.jpg," ""เด็กชายมะลิวัลย์"" วรรณกรรมไทยที่ฉายภาพชีวิตและวิถีความเป็นอยู่ของผู้คนสมัยสงครามโลกครั้งที่ 2 โดยบอกผ่านเรื่องราวของเด็กชายมะลิวัลย์ ที่แม้ร่างกายจะพิการแต่จิตใจกลับเข้มแข็งด้วยครอบครัวที่อบอุ่นและน้ำใจที่โอบอ้อมอารีของบุคคลรอบข้าง เด็กชายมะลิวัลย์เป็นเด็กชายที่เกิดในห้องแถวแถวเสาชิงช้ากรุงเทพฯ เมื่อ 40 กว่าปีก่อนมะลิเกิดมาตอนแม่อายุ 40 ปี เกิดมาก็มีผิวพรรณขาวนวลจนพ่อตั้งชื่อให้ว่ามะลิและเพื่อนๆ ยังมาต่อสร้อยให้จนกลายมาเป็นเด็กชายมะลิวัลย์ซ้ำร้ายกว่านั้น ในยุคที่หลายสิ่งอย่างยังอัตคัดขัดสนไม่ว่าข้าวของเงินทอง เสื้อผ้าหรือหยูกยาอาหารต่างๆ นับว่าหายากมีราคาแพงสมกับเป็นยุคหลังสงคราม มะลิยังโชคร้ายป่วยเป็นโรคโปลิโอ แต่กระนั้นเขาก็มีสภาพจิตใจที่เข้มแข็งโดยมีแม่คอยเฝ้าปลูกฝังเพาะบ่มนิสัยให้เขาหยิ่งทะนงรักในเกียรติและศักดิศรี",123.5
